route_id,origin_city,origin_code,dest_city,dest_code,departure_date,cabin_class,total_flights,min_price_vnd,max_price_vnd,avg_price_vnd,airlines_count,airlines_list,fastest_duration
CXR_SGN_Economy_20260918,Nha Trang,CXR,Ho Chi Minh City,SGN,2026-09-18,Economy,20,696323,8491302,4122648,3,"VietJet Air, Sun PhuQuoc Airways, Vietnam Airlines",1h 0m
CXR_SGN_Business_20260918,Nha Trang,CXR,Ho Chi Minh City,SGN,2026-09-18,Business,5,3486975,5084528,4499030,2,"VietJet Air, Vietnam Airlines",1h 0m
CXR_DAD_Economy_20260918,Nha Trang,CXR,Da Nang,DAD,2026-09-18,Economy,20,2478013,4833706,3732120,2,"VietJet Air, Vietnam Airlines",1h 5m
CXR_DAD_Business_20260918,Nha Trang,CXR,Da Nang,DAD,2026-09-18,Business,1,5583125,5583125,5583125,1,Vietnam Airlines,1h 5m
CXR_HAN_Economy_20260918,Nha Trang,CXR,Hanoi,HAN,2026-09-18,Economy,20,1377665,3770248,2967500,4,"VietJet Air, Sun PhuQuoc Airways, Vietnam Airlines, Vietravel Airlines",1h 55m
CXR_HAN_Business_20260918,Nha Trang,CXR,Hanoi,HAN,2026-09-18,Business,4,6731249,8894066,7551249,2,"Sun PhuQuoc Airways, Vietnam Airlines",2h 0m
CXR_DLI_Economy_20260918,Nha Trang,CXR,Dalat,DLI,2026-09-18,Economy,18,3092101,9711464,5959269,2,"VietJet Air, Vietnam Airlines",4h 25m
CXR_DLI_PremiumEconomy_20260918,Nha Trang,CXR,Dalat,DLI,2026-09-18,PremiumEconomy,11,7315630,12763997,9646837,2,"VietJet Air, Vietnam Airlines",4h 15m
CXR_DLI_Business_20260918,Nha Trang,CXR,Dalat,DLI,2026-09-18,Business,5,10239402,12807713,11455198,1,Vietnam Airlines,4h 15m
CXR_PQC_Economy_20260918,Nha Trang,CXR,Phu Quoc Island,PQC,2026-09-18,Economy,13,780321,7939235,4181088,3,"VietJet Air, Sun PhuQuoc Airways, Vietnam Airlines",1h 20m
CXR_PQC_Business_20260918,Nha Trang,CXR,Phu Quoc Island,PQC,2026-09-18,Business,1,3540693,3540693,3540693,1,Sun PhuQuoc Airways,1h 20m
CXR_HUI_Economy_20260918,Nha Trang,CXR,Hue,HUI,2026-09-18,Economy,20,3054443,6631144,4840791,2,"VietJet Air, Vietnam Airlines",20h 40m
CXR_HUI_PremiumEconomy_20260918,Nha Trang,CXR,Hue,HUI,2026-09-18,PremiumEconomy,11,7523275,25477564,12323722,2,"VietJet Air, Vietnam Airlines",3h 45m
CXR_HUI_Business_20260918,Nha Trang,CXR,Hue,HUI,2026-09-18,Business,5,10322289,12560835,11553199,1,Vietnam Airlines,6h 20m
DLI_SGN_Economy_20260918,Dalat,DLI,Ho Chi Minh City,SGN,2026-09-18,Economy,20,894593,4269520,2712794,2,"VietJet Air, Vietnam Airlines",0h 55m
DLI_SGN_PremiumEconomy_20260918,Dalat,DLI,Ho Chi Minh City,SGN,2026-09-18,PremiumEconomy,2,1758410,4914659,3336534,1,VietJet Air,0h 55m
DLI_SGN_Business_20260918,Dalat,DLI,Ho Chi Minh City,SGN,2026-09-18,Business,5,4779370,5228630,4869222,1,Vietnam Airlines,0h 55m
DLI_DAD_Economy_20260918,Dalat,DLI,Da Nang,DAD,2026-09-18,Economy,20,1742857,5816490,4652628,2,"VietJet Air, Vietnam Airlines",1h 5m
DLI_DAD_PremiumEconomy_20260918,Dalat,DLI,Da Nang,DAD,2026-09-18,PremiumEconomy,1,2813601,2813601,2813601,1,VietJet Air,1h 5m
DLI_DAD_Business_20260918,Dalat,DLI,Da Nang,DAD,2026-09-18,Business,1,3492955,3492955,3492955,1,Vietnam Airlines,1h 5m
DLI_HAN_Economy_20260918,Dalat,DLI,Hanoi,HAN,2026-09-18,Economy,20,1076275,4161491,3110270,3,"VietJet Air, Vietnam Airlines, Vietravel Airlines",1h 55m
DLI_HAN_PremiumEconomy_20260918,Dalat,DLI,Hanoi,HAN,2026-09-18,PremiumEconomy,5,2514257,5891409,3865117,1,VietJet Air,1h 35m
DLI_HAN_Business_20260918,Dalat,DLI,Hanoi,HAN,2026-09-18,Business,2,5311093,5348649,5329871,1,Vietnam Airlines,1h 55m
DLI_CXR_Economy_20260918,Dalat,DLI,Nha Trang,CXR,2026-09-18,Economy,20,2929145,6499201,4395713,1,Vietnam Airlines,5h 55m
DLI_PQC_Economy_20260918,Dalat,DLI,Phu Quoc Island,PQC,2026-09-18,Economy,20,2916168,4276583,3404732,2,"VietJet Air, Vietnam Airlines",9h 10m
DLI_PQC_PremiumEconomy_20260918,Dalat,DLI,Phu Quoc Island,PQC,2026-09-18,PremiumEconomy,11,6339844,11941919,9984068,2,"VietJet Air, Vietnam Airlines",4h 40m
DLI_PQC_Business_20260918,Dalat,DLI,Phu Quoc Island,PQC,2026-09-18,Business,6,9960064,17053729,14264321,1,Vietnam Airlines,5h 50m
DLI_HUI_Economy_20260918,Dalat,DLI,Hue,HUI,2026-09-18,Economy,20,3015098,5287268,3821088,2,"VietJet Air, Vietnam Airlines",23h 20m
