property_id,hotel_name,default_name,property_type,accommodation_type,stars,is_luxury,address_line,area_name,area_id,city_name,city_id,country_name,postal_code,latitude,longitude,year_opened,number_of_rooms,number_of_floors,check_in_from,check_out_until,breakfast_charge,airport_transfer_fee,gold_circle_award_year,today_booking,booking_count_last_24h,recommendation_score,main_image_url
89178269,"M Village Resort Riverbeach Hoi An, a brand of Modern Village Lifestyle ","M Village Resort Riverbeach Hoi An, a brand of Modern Village Lifestyle ",Hotel,Hotel,5.0,True,"05 Cửa Đại, Hội An Đông",Cửa Đại,34249,Hoi An,16552,Vietnam,560000,15.896506309509277,108.36511993408203,2026,87,3,15:00,12:00,,,,Booked 5 times today,,,https://pix8.agoda.net/hotelImages/89178269/0/6ecb341a431d802f38ac12bae6cab9b5.png?ce=3&s=1024x768
16375525,New World Hoiana Hotel,New World Hoiana Hotel,Hotel,Hotel,5.0,True,"Hoiana Resort & Golf, Tay Son Tay Hamlet, Duy Hai Commune",Thang Binh,573816,Hoi An,16552,Vietnam,560000,15.830716133117676,108.40422058105469,2022,476,17,15:00,11:00,,,,Booked 11 times today,,,https://pix8.agoda.net/hotelImages/16375525/-1/33df9e612b8f4514805e0f21235c891d.jpg?ce=0&s=1024x768
3007182,Hoi An Canal House Riverside a Salve by Haviland,Hoi An Canal House Riverside a Salve by Haviland,Hotel,Hotel,3.0,False,"30 Nguyen Du, Cam Pho Ward, Hoi An",Cẩm Phô,57585,Hoi An,16552,Vietnam,,15.876439094543457,108.32078552246094,,,,14:00,12:00,,,,,,,https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/109917466.jpg?k=03c28a05d27922cbcec1e0da954de8ad6a245e9c141ddde3fb1af085bf788ead&o=
84897663,Son Tra Villa Hoi An - Quiet Pool Villa Near Old Town,Son Tra Villa Hoi An - Quiet Pool Villa Near Old Town,Hotel,Hotel,4.0,False,"215 Nguyễn Tất Thành, Tân An",Thanh Ha,57586,Hoi An,16552,Vietnam,460000,15.890034,108.31509,,1,3,14:00,11:00,,350000 VND,,Booked 7 times today,,,https://pix8.agoda.net/hotelImages/84897663/0/9f7c7e9f18d08b307ddd78013793f6bd.jpg?ce=3&s=1024x768
39012886,iHome Hoi An,iHome Hoi An,Hotel,Hotel,3.0,False,54 Nguyễn Tri Phương,Cam Nam,519553,Hoi An,16552,Vietnam,,15.872444152832031,108.3326644897461,,,,14:00,12:00,,,,Booked once today,,,https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/604786055.jpg?k=b7e06d290bb8b8b9798a4743ff0665d0f81bd25bb4e9337a5766323de4b437bb&o=
63917222,Hoianese Quiet Old Town Hotel,Hoianese Quiet Old Town Hotel,Hotel,Hotel,0.0,False,"30 Bà Triệu, Phường Cẩm Phổ",Cẩm Phô,57585,Hoi An,16552,Vietnam,,15.882243,108.32437,,20,4,14:00,11:00,,,,,,,https://pix8.agoda.net/hotelImages/63917222/0/e08b616e1fbbd01c6b15ffabc98605d8.jpg?ce=0&s=1024x768
46749251,Dom Hostel and Bar,Dom Hostel and Bar,Hotel,Hostel,0.0,False,"58 Bà Triệu 58 Bà Triệu, Tp Hội An",Son Phong,57587,Hoi An,16552,Vietnam,,15.8819198608398,108.325881958008,,,,,,,,,,,,https://pix8.agoda.net/hotelImages/46749251/0/764269544d9356cbb8703a01761c64df.jpeg?ce=0&s=1024x768
88966251,Old Lane Homestay Hoian,Old Lane Homestay Hoian,Hotel,Hotel,3.0,False,"625/5 Đ. Hai Bà Trưng, Hội An",Son Phong,57587,Hoi An,16552,Vietnam,55000,15.880502,108.32711,,1,,02:00,00:00,,,,,,,https://pix8.agoda.net/hotelImages/88966251/0/898c5cfbdc0bef43b7a50637b7f2bbb5.jpg?ce=3&s=1024x768
52499134,Harmony Old Town Hostel & Pool Bar,Harmony Old Town Hostel & Pool Bar,Hotel,Hotel,3.0,False,"107 Bà Triệu, Phường Minh An",Cẩm Phô,57585,Hoi An,16552,Vietnam,53000,15.880976,108.326096,,1,,14:00,11:00,,,,Booked once today,,,https://pix8.agoda.net/hotelImages/52499134/0/c29782db09cf93ddfbf61061b34f7373.jpg?ce=0&s=1024x768
7023976,Hoi An Fairy Garden Villa,Hoi An Fairy Garden Villa,Hotel,Hotel,2.0,False,"448/8 Nguyen Tri Phuong, Cam Nam ward, Hoi An city",Cam Nam,519553,Hoi An,16552,Vietnam,51312,15.869050025939941,108.34905242919922,2019,14,2,14:00,12:00,40000 VND,300000 VND,,Booked 3 times today,,,https://pix8.agoda.net/hotelImages/7023976/-1/dda639f24c86677ce04d7582e143b0d5.jpg?ce=0&s=1024x768
45941857,Cozy An Boutique Hotel Hoian,Cozy An Boutique Hotel Hoian,Hotel,Hotel,4.0,False,128 Trần Quang Khải,Cam Chau,502697,Hoi An,16552,Vietnam,51000,15.877423286437988,108.3388671875,2023,53,7,14:00,12:00,500000 VND,,2024,Booked 9 times today,,,https://pix8.agoda.net/hotelImages/45941857/0/6b0b62a356af01cb46b98d182ec9ac49.png?ce=3&s=1024x768
6207508,The Pearl Hoi An,The Pearl Hoi An,Hotel,Hotel,5.0,False,01 AN BANG BEACH CAM AN WARD,Cam An,502696,Hoi An,16552,Vietnam,560000,15.918909072876,108.330871582031,2019,581,4,15:00,12:00,600000 VND,700000 VND,,Booked 15 times today,,,https://pix8.agoda.net/hotelImages/6207508/-1/d98b6733fc8fb26d31a509d1ef60e542.jpg?ce=0&s=1024x768
87880062,Hoi An Hostel & Bar,Hoi An Hostel & Bar,Hotel,Hostel,3.0,False,"29 Đào Duy Từ, Hội An",Cẩm Phô,57585,Hoi An,16552,Vietnam,560000,15.876694,108.32095,,11,3,14:00,12:00,,,,,,,https://pix8.agoda.net/hotelImages/87880062/0/520fbea3204d669568c0783feec51d84.jpg?ce=3&s=1024x768
72420229,Old Town Hotel - 6 minute walk to the Japanese Bridge,Old Town Hotel - 6 minute walk to the Japanese Bridge,Hotel,Hotel,4.0,False,"16B B  Triệu, Phường Cẩm Phổ ",Cẩm Phô,57585,Hoi An,16552,Vietnam,550000,15.88284,108.324234,2024,50,4,14:00,12:00,100000 VND,300000 VND,,,,,https://pix8.agoda.net/hotelImages/72420229/0/cfde934217d5baf6b9219e79468f98dc.jpg?ce=3&s=1024x768
33923863,Cam An Houses,Cam An Houses,NonHotel,Entire House,3.5,False,150/1 Nguyễn Phan Vinh,Cam An,502696,Hoi An,16552,Vietnam,,15.913683,108.33729,,1,,14:00,12:00,,,,Booked once today,,,https://pix8.agoda.net/hotelImages/37289852/0/6a26dc6f20d7e916e42b7705f2688fa9.jpg?ce=0&s=1024x768
